index,road,id,model_type,condition,name,lat,lon,length,bridge_name,in,out
2337,N2,1002337,bridge,A,,24.2821628568181,91.4208976749999,4.2,N ASHUTPUR,,
2339,N2,1002339,link,,,24.2821382,91.4219716,1318.0,,,
2342,N2,1002342,bridge,A,,24.2799993,91.436083,500.0,BORCLAR CULVERT,,
2343,N2,1002343,link,,,24.2790827,91.4407774,485.0,,,
2344,N2,1002344,bridge,A,,24.2759438,91.4445274,531.0,BORCHAR,,
2345,N2,1002345,bridge,A,,24.2741830466257,91.4462022466257,2.6,TALUGARAR,,
2346,N2,1002346,link,,,24.2725271,91.4477774,489.0,,,
2347,N2,1002347,bridge,A,,24.272416,91.4478608,21.0,BISHOROAH BOX CULVERT,,
2348,N2,1002348,bridge,A,,24.2691382,91.4509722,483.0,BISHOROAD CULVERT,,
2349,N2,1002349,link,,,24.2663611,91.45475,506.0,,,
2351,N2,1002351,bridge,A,,24.2665556,91.4595833,499.0,WORLD ROAD CULVERT,,
2352,N2,1002352,bridge,A,,24.2666905404809,91.4619911426853,2.1,BIRMACHAR CULVERT,,
2353,N2,1002353,link,,,24.2668327,91.4645278,506.0,,,
2355,N2,1002355,bridge,A,,24.2671382,91.4706382,621.0,BIRAM CHAR BOX CULVERT,,
2356,N2,1002356,bridge,A,,24.267181867647,91.4721012037433,1.6,SHAIS TAGONG CULVEERT,,
2357,N2,1002357,link,,,24.2672493,91.4743604,400.0,,,
2359,N2,1002359,intersection,,,24.2676938,91.4768882,251.0,,,
2360,N2,1002360,bridge,A,,24.2682615092063,91.477247111746,216.15,SAYESTAGONJ BRIDGE,,
2362,N2,1002362,link,,,24.271666,91.4792493,1064.0,,,
2365,N2,1002365,bridge,A,,24.2788063459787,91.4859254584218,27.0,ADDIPASHA R C C BRIDGE,,
2367,N2,1002367,link,,,24.2799716,91.4879163,1659.0,,,
2370,N2,1002370,bridge,C,,24.2861663,91.4980552,366.0,BASHUINA BOX CULVERT,,
2371,N2,1002371,bridge,C,,24.2862366482014,91.498186313669,2.0,BASHINA BOX CULVERT,,
2372,N2,1002372,link,,,24.2873886,91.5003333,644.0,,,
2374,N2,1002374,bridge,A,,24.2908052,91.5055278,281.0,BAINA BOX CULVERT,,
2375,N2,1002375,intersection,,,24.2947219,91.5100833,639.0,,,
2376,N2,1002376,link,,,24.2954163,91.5104167,85.0,,,
2377,N2,1002377,bridge,A,,24.2978886,91.5111944,314.0,JOYPUR BOX CULVERT,,
2378,N2,1002378,bridge,A,,24.3004444,91.5119444,296.0,MIRPUR BOX CULVERT,,
2379,N2,1002379,bridge,A,,24.3005804944444,91.5120214666666,1.9,MIRPUR BOX CULVERT,,
2380,N2,1002380,link,,,24.30275,91.51325,410.0,,,
2382,N2,1002382,bridge,A,,24.3055556,91.5169438,265.0,RUPSANKAR BOX CULVERT,,
2383,N2,1002383,bridge,A,,24.3075278,91.518166,362.0,KHAMAR GOAN BOX CULVERT,,
2384,N2,1002384,link,,,24.3098056,91.5196104,298.0,,,
2385,N2,1002385,bridge,A,,24.313,91.522416,466.0,CHARGUY BOX CULVEFRT,,
2386,N2,1002386,bridge,A,,24.3164647349264,91.5259613753676,8.0,DOWLOTPUR BOX CULVERT,,
2387,N2,1002387,link,,,24.3165833,91.5260827,544.0,,,
2388,N2,1002388,bridge,A,,24.3183604,91.5276382,261.0,DOWLOTPUR PC BRIDGE,,
2390,N2,1002390,link,,,24.3228604,91.5301938,739.0,,,
2392,N2,1002392,bridge,A,,24.3271104,91.5321938,345.0,TOLAMPUR BOX CULVERT,,
2393,N2,1002393,bridge,A,,24.3312803529771,91.5331031047328,6.4,ISLAMPUR,,
2394,N2,1002394,link,,,24.3329716,91.5334719,655.0,,,
2395,N2,1002395,bridge,A,,24.3336663,91.5334997,88.0,JANJJALIA,,
2396,N2,1002396,bridge,A,,24.3367497,91.5336108,447.0,JANJJALIA,,
2397,N2,1002397,bridge,A,,24.3379163,91.5337774,142.0,JANNJALIA,,
2398,N2,1002398,bridge,A,,24.340333,91.5342497,174.0,KABIR PUR,,
2399,N2,1002399,link,,,24.3419441,91.5346108,179.0,,,
2400,N2,1002400,bridge,A,,24.3429719,91.5348052,126.0,ISLAMABAD,,
2401,N2,1002401,bridge,A,,24.3459719,91.535333,340.0,KABIR PUR CULVERT,,
2402,N2,1002402,link,,,24.3487497,91.5357497,544.0,,,
2404,N2,1002404,bridge,B,,24.3535,91.5379441,358.0,CHALTA BAZAR BRIDGE,,
2405,N2,1002405,link,,,24.3538611,91.5384441,66.0,,,
2406,N2,1002406,bridge,A,,24.3551111,91.5398608,202.0,CHALTA BOX CULVERT,,
2407,N2,1002407,link,,,24.3582222,91.5411386,384.0,,,
2408,N2,1002408,bridge,A,,24.363,91.5421663,546.0,CHALTA BAZAR BOX CULVERT,,
2409,N2,1002409,bridge,A,,24.3658315268722,91.5434295729075,15.8,MOKKADI,,
2410,N2,1002410,link,,,24.3668604,91.5438886,454.0,,,
2411,N2,1002411,bridge,A,,24.3682216,91.544583,169.0,ADITPUR,,
2413,N2,1002413,link,,,24.3731382,91.5470274,841.0,,,
2415,N2,1002415,bridge,A,,24.3774993,91.5491941,300.0,MOSHIDOLONG,,
2416,N2,1002416,bridge,A,,24.3819716,91.5513889,552.0,MOGLIE,,
2417,N2,1002417,link,,,24.3820549,91.5514167,148.0,,,
2419,N2,1002419,bridge,A,,24.3902523321393,91.55708278676616,932.0,DOVEREL,,
2420,N2,1002420,link,,,24.3908052,91.5574722,73.0,,,
2421,N2,1002421,bridge,A,,24.3926941,91.5587222,254.0,SHOURATUL,,
