road,id,model_type,condition,name,lat,lon,length,bridge_name
N1,1367,bridge,A,,23.029416,91.3656389,735.0,CHARIPUR CULVERT.
N1,1368,link,,,23.0269716,91.3655,287.0,
N1,1369,link,,,23.0248327,91.3655278,240.0,
N1,1370,link,,,23.0193604,91.3697771,761.0,
N1,1371,link,,,23.0185271,91.3708327,151.0,
N1,1372,link,,,23.0140833,91.3759716,724.0,
N1,1373,link,,,23.0132778,91.3769438,125.0,
N1,1374,bridge,A,,23.0095556,91.3813604,614.0,RAMPUR BOX CULVERT
N1,6956,intersection,,,23.0101111,91.3990274,1407.0,
N1,1376,link,,,22.9963886,91.3998052,1000.0,
N1,1377,link,,,22.9961941,91.4005,85.0,
N1,1378,link,,,22.9960552,91.4006667,23.0,
N1,1379,bridge,A,,22.9947280792802,91.4022894900763,23.4,RAMPUR BRIDGE
N1,1380,bridge,A,,22.9945936133042,91.4024539137404,22.15,Rampur Bridge(R)
N1,1381,bridge,A,,22.9927169359869,91.4047486961832,1.9,bridge at id 1381
N1,1382,link,,,22.9906941,91.4072222,917.0,
N1,7062,intersection,,,22.9877774,91.4101389,448.0,
N1,1384,intersection,,,22.9858886,91.4120556,296.0,
N1,1385,link,,,22.9842219,91.4137222,256.0,
N1,1386,link,,,22.9774438,91.4205827,1051.0,
N1,1387,link,,,22.9711382,91.4273882,1000.0,
N1,1388,link,,,22.9663333,91.4356108,1000.0,
N1,1389,link,,,22.9624167,91.4416941,780.0,
N1,1390,link,,,22.9618056,91.4424997,109.0,
N1,1391,bridge,B,,22.9614487369369,91.4429962027027,94.05,LAMUA BRIDGE
N1,1392,link,,,22.9611667,91.4433886,111.0,
N1,1393,link,,,22.9561389,91.4517778,1043.0,
N1,1394,link,,,22.9514444,91.4600278,1000.0,
N1,1395,link,,,22.9479997,91.4689993,1012.0,
N1,1396,link,,,22.9483608,91.4761382,738.0,
N1,1397,link,,,22.9484997,91.4786938,262.0,
N1,1398,bridge,A,,22.9486038666666,91.4794993833333,1.5,FAZAILPUR BOXCULVERT
