road,id,model_type,name,lat,lon,length,condition
N1,154,link,link,23.4986386,90.9651111,65.269,
N1,155,link,link,23.4980552,90.9660278,65.543,
N1,156,link,link,23.4972774,90.9674716,65.726,
N1,157,link,link,23.4942219,90.9765549,66.726,
N1,158,bridge,bridge,23.4951386,90.9829993,67.42,A
N1,159,link,link,23.4942497,90.985833,67.726,
N1,160,link,link,23.4911386,90.9950274,68.726,
N1,161,link,link,23.4894441,91.0033056,69.616,
N1,162,link,link,23.4893886,91.0034722,69.638,
N1,163,link,link,23.4896108,91.0043056,69.709,
N1,164,link,link,23.4893052,91.0112778,70.443,
N1,165,bridge,bridge,23.4890552,91.0120278,70.527,C
N1,166,link,link,23.4889441,91.01225,70.557,
N1,167,link,link,23.488333,91.0140833,70.755,
N1,168,link,link,23.4846386,91.0229438,71.775,
N1,169,link,link,23.4827771,91.0321382,72.775,
N1,170,bridge,bridge,23.481166,91.0404441,73.688,B
N1,171,link,link,23.4814716,91.0419719,73.829,
N1,172,bridge,bridge,23.4820827,91.0504167,74.7,B
N1,173,link,link,23.4821382,91.0516944,74.829,
N1,174,bridge,bridge,23.4815271,91.0590278,75.589,A
N1,175,link,link,23.4815549,91.0613611,75.829,
N1,176,link,link,23.4801104,91.0706382,76.829,
N1,177,bridge,bridge,23.4770827,91.0789993,77.773,C
N1,178,link,link,23.4770271,91.0794716,77.829,
N1,179,link,link,23.4781938,91.0889997,78.829,
N1,180,link,link,23.4775549,91.0986663,79.829,
N1,181,link,link,23.4778604,91.1036111,80.342,
N1,182,link,link,23.4779993,91.1055278,80.829,
N1,183,bridge,bridge,23.4789438,91.1177216,81.801,A
N1,184,link,link,23.4789716,91.1179993,81.829,
N1,185,link,link,23.4789716,91.118166,81.846,
N1,186,link,link,23.4793327,91.1234716,82.393,
N1,187,link,link,23.4800827,91.1276382,82.829,
N1,188,link,link,23.4767216,91.1364441,83.829,
N1,189,link,link,23.4682216,91.1394441,84.829,
N1,190,link,link,23.4595833,91.1421386,85.829,
N1,191,bridge,bridge,23.459,91.142333,85.897,A
N1,192,link,link,23.4513056,91.1460552,86.829,
N1,193,link,link,23.448833,91.1471386,87.132,
N1,194,link,link,23.4486386,91.1472497,87.156,
N1,195,link,link,23.4469441,91.1481386,87.366,
N1,196,link,link,23.4425274,91.1497774,87.829,
N1,197,link,link,23.4373886,91.1521944,88.513,
N1,198,link,link,23.4288882,91.1553889,89.513,
N1,199,link,link,23.4236938,91.1626944,90.493,
N1,200,link,link,23.4235827,91.1629722,90.521,
N1,201,link,link,23.423416,91.1632778,90.558,
N1,202,link,link,23.4213604,91.167666,91.066,
N1,203,link,link,23.4195271,91.171416,91.493,
